name,rating,text,date
prisca pearl,5 stars,They are the best. Customer service is topnotch. I went for Transvaginal Scan and was diagnosed with adenomyosis. I was place on medications and I can boldly say my last period was the most amazing period I have had in a long time. It was …,3 months ago
Instabooth Studios,5 stars,"I was extremely shocked to see how they. Responded quickly agreed for me to send samples by Uber, very smooth service as well as how the customer care personnel really asked if I was fine. And tried to recommend things To do to better my …",4 months ago
Adenekan Pelumi,5 stars,"I had a lovely experience at Mascot Healthcare. The doctor and staff were approachable, professional, and incredibly helpful throughout my visit. I felt listened to, well attended to, and properly guided at every stage",6 months ago
Emmanuel Osas,5 stars,"Mascot Health Care Clinic provides professional, well-organized, and patient-focused care. The reception and nursing staff were attentive, and Dr. Lawal handled the case with expertise and efficiency. Treatment was prompt and effective, …",5 months ago
Faith Jerry,5 stars,"Pay serious attention to every details ,Dr always call/text to check on me if there's any complaints even though I kept saying no complaints.he won't stop checking. And yes!,they're affordable very affordable. I'm glad I found this clinic 😌 ..I lovveeeeeet here 💯 …",3 months ago
Macaulay kemisola,5 stars,"My experience at Mascot Hospital was excellent. The doctors are very nice, caring, and knowledgeable, and they took their time to explain everything clearly to me. The nurses and staff were polite, attentive, and professional. I felt well …",7 months ago
Elijah Oluwatobi,5 stars,"I had a very good experience at Mascot Healthcare Clinic today. I went in for an infection and was attended to promptly and professionally. The staff were calm, respectful, and made me feel comfortable throughout the process. The treatment …",6 months ago
Lawal Samiat,5 stars,"I had the best medical service with mascot clinic.The doctor explains well and breaks it down to your level of understanding,the receptionist is also so nice and friendly including the nurse.Fr I won’t lie I had a very professional and good experience",2 months ago
Muhammed Moshood,5 stars,Excellent Healthcare Clinic with caring and professional staff. They truly value their patients and provide great care and support. Highly recommended.,3 months ago
blessing olusola,5 stars,"Mascot Healthcare Clinic offers excellent and reliable healthcare services. The staff are courteous, professional, and very attentive to patients’ needs. The clinic environment is clean and well-organized, and the doctors take time to …",7 months ago
Rasaq Kayode,5 stars,"Mascot Health Care provides outstanding medical services with a strong commitment to patient wellbeing. The staff are professional, compassionate, and always willing to go the extra mile to ensure patients feel comfortable and well cared …",7 months ago
Moses Mercy,5 stars,"From the very beginning of my journey at 6 weeks pregnant until the day I gave birth, this clinic stood by me in ways I will never forget. …",4 months ago
Oladeinde Olabisi,5 stars,The hospital has a great customer service and i was treated well the staffs were welcoming as well,a month ago
Grace Ogunbor,5 stars,I actually have a nice experience from the nurse at the reception down to the doctor. Attention was given to all complaints and it was handle with professionalism.,a month ago
hamzat omotoyosi,5 stars,"I had a great experience at this hospital while being treated for malaria. The staff were caring, the service was fast, and the environment was clean. I felt well taken care of and recovered quickly. Highly recommended! 🌟 …",6 months ago
Deborah Plufel Udoh,5 stars,"The doctor I met on sit was helpful, welcoming , reliable and ready to explain till you understand what you're dealing with. Quite professional too.",a month ago
Patrick Daudu,5 stars,"I had a very pleasant experience with this establishment. The team was professional, attentive, and handled everything with a high level of competence. Communication was clear, service delivery was timely, and they paid good attention to …",7 months ago
yusuf bolaji,5 stars,"They've a great customer service,affordable fees,and their level of professionalism in Healthcare is at peak",a month ago
Hairat Alli-balogun,5 stars,"Very pleasant and professional medical practitioners. Time efficient, comfortable environment and warm reception. I'll recommend.",2 months ago
Delight,5 stars,"Mascot Healthcare is one top notch facility. I love the serene office,the response team and the kind communication of the doctor. Its one place I recommend.",6 months ago
grace ioryue,5 stars,The doctor and staff members were professional in providing me the care I needed. I walked into the clinic unsure if I was going to get the diagnosis and right treatment for my health concern; having been misdiagnosed at a previous clinic. …,7 months ago
Peters Michelin,5 stars,"It was a great experience, from the receptionist down to the doctor are nice people . I enjoyed how kind the doctor spoke freely and friendly aswell .",4 months ago
Tawakalitu Nollah,5 stars,The doctor is so patient and analytical in nature. I’ve never had a good experience with any doctor and I’m happy in part of the family now…,4 months ago
Sharon Irabor,5 stars,Professionally was top notch from the receptionist to the doctor. Doctors was expert and very concerned about his patients. I would recommend mascot anytime and any day,6 months ago
Temiloluwa Keshinro,5 stars,I visited mascot health care clinic for a deep cut that needed stitching. The doctor was professional and attentive. After following the prescribed medication and care my hand has healed nicely. I really appreciate the quality of care provided.,7 months ago
Neville Nwabuzor,5 stars,"⭐️⭐️⭐️⭐️⭐️

Mascot Health offers great care with a professional and friendly team. …",7 months ago
Precious Nwaze,5 stars,Mascot is super affordable but gives the best luxurious service. The customer care is superb and you are sure to leave there satisfied,5 months ago
Precious AL,5 stars,"The clinic offered exceptional care in a calm and supportive environment. The doctor was kind, attentive, and made sure I felt informed and comfortable every step of the way. I truly appreciate the professionalism and compassion from the entire team.",8 months ago
Wuraola Ojuolape,5 stars,"One random afternoon, I was in my room looking for an hospital I could go nearby as I was feeling horribly sick. …",8 months ago
CARLOX XAVIER,5 stars,"Honestly you guys are the best, battle with my health for so long but with just little medication i recieve from mascot healthcare clinic was really incredible and i am so glad and please keep up the good work",6 months ago
NWALA MERCY,5 stars,"The best place for any health care, they are affordable and professional. It’s a 10/10 service",3 months ago
Karima K.,5 stars,Dr Lawal is attentive and caring and gives the most effective medical advice and treatments. Great nurses and staff too. I recommend Mascot Healthcare Clinic.,7 months ago
don-sek igwe,5 stars,"Was awesome actually, Doctor takes his time to counsel, educated and assist his patients",3 months ago
Oyegoke Tumilara,5 stars,"Nice, swift service with affordable prices. Well done",a month ago
Ngozi Favour,4 stars,"I had a very wonderful experience at Mascot clinic, the receptionist and nurses were so welcoming and nice towards me and when I eventually saw the doctor, it was like a lecture on its own. He explained everything I needed to know in details and also provided solutions to my worries.",10 months ago
Oluchi Beatrice,5 stars,Excellent service and caring staff. Definitely recommend.,3 months ago
Agboukwu Chizoba david,5 stars,"Mascot Healthcare Clinic is top notch, from the management, the staff , the health care equipment and appliances. I recommend Mascot Health Clinic.",7 months ago
Amaka Aris,5 stars,"I was feeling really unwell while visiting the country and desperately needed to see a doctor. I searched for hospitals and clinics nearby and came across this place. They had amazing reviews—honestly, the best I found in Yaba—so I decided …",a year ago
Juliet Joseph,5 stars,"My experience was really good, very clean space, friendly people. The treatment is effective",Edited 3 months ago
Eun Yun,5 stars,was doubtful at first but after giving mascot a try i can openly say they are good at what they do 💯💯 …,4 months ago
Oluwafemi Oyebamiji,4 stars,"Good customer service,  well attended to by the doctor",2 months ago
bello hysha,5 stars,"The doctor was very attentive and responsive. He’s also very learned and trustworthy.
The nurses were also pretty nice. …",a year ago
osho kehinde,5 stars,"Good Customer service and relation
Result came in fast and everything was very professional",5 months ago
Jesudara H.,5 stars,"Fantastic experience.
The doctor listened and took time to breakdown my symptoms, as a means to put my fears to rest as well as different pathways to healing. …",Edited a year ago
ESTHER oluwafisayomi,5 stars,"Very accommodative personnels
Very clear consultation and they listen well to your health complaints",3 months ago
Adaeze Obim,5 stars,"I love their services.
Best ever",3 months ago
Tunrayo Salako,4 stars,"The doctor was so attentive and he breaks down everything you need to know. He calm your fears too for people that might have a bit of serious condition, and that’s very impressive. You can use them any day any time.",10 months ago
akinloye enoch,5 stars,I would gladly recommend this clinic cos it has good healthcare facility with experienced medical professionals.,7 months ago
Usman Bolaji,5 stars,"Always fantastic, and I always feel comfortable going there because they are welcoming. Best of all they treat well.",a year ago
Candace Jumbo,5 stars,The doctor was very patient to explain everything to me in layman's terms. Excellent customer service too. Flexibility with interaction on request. Their services are affordable too.,a year ago
